t,prosumer,P_buyGrid,P_sellGrid,P_sellP2P,P_buyP2P,P_ch,P_dch,E_bat,P_gen,P_load,Bat_cap,Bat_cap_max
0,0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,10
0,1,0.0,4.31,0.0,0.0,0.0,3.31,3.82,1.0,0.0,3.82,15
0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,10
1,1,0.0,1.0,0.0,0.0,0.0,0.0,3.82,1.0,0.0,3.82,15
1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2,0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,10
2,1,0.0,1.74,0.0,0.0,0.0,0.74,3.0,1.0,0.0,3.0,15
2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3,0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,10
3,1,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,15
3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4,0,0.0,3.7,0.0,0.0,0.0,2.7,2.0,1.0,0.0,2.0,10
4,1,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,15
4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
